instance,instance_id,n,error,algo,time_ms,peak_mb,gap,trial
sorting_near_sorted_12.json,sorting_near_sorted_12,100000,0.1,A,593.5400000307709,3.2019577026367188,0.0,9
sorting_near_sorted_12.json,sorting_near_sorted_12,100000,0.1,A,581.8255000049248,3.2019577026367188,0.0,10
sorting_near_sorted_12.json,sorting_near_sorted_12,100000,0.1,B,1705.1932000322267,2.67364501953125,0.0,1
sorting_near_sorted_12.json,sorting_near_sorted_12,100000,0.1,B,1696.670399978757,2.6725845336914062,0.0,2
sorting_near_sorted_12.json,sorting_near_sorted_12,100000,0.1,B,1695.8948000101373,2.6725845336914062,0.0,3
sorting_near_sorted_12.json,sorting_near_sorted_12,100000,0.1,B,1696.6117999982089,2.6725845336914062,0.0,4
sorting_near_sorted_12.json,sorting_near_sorted_12,100000,0.1,B,1696.8363000778481,2.6725845336914062,0.0,5
sorting_near_sorted_12.json,sorting_near_sorted_12,100000,0.1,B,1701.7456999747083,2.6725845336914062,0.0,6
sorting_near_sorted_12.json,sorting_near_sorted_12,100000,0.1,B,1702.5119999889284,2.673797607421875,0.0,7
sorting_near_sorted_12.json,sorting_near_sorted_12,100000,0.1,B,1698.682300047949,2.6725845336914062,0.0,8
sorting_near_sorted_12.json,sorting_near_sorted_12,100000,0.1,B,1708.4333000238985,2.6725845336914062,0.0,9
sorting_near_sorted_12.json,sorting_near_sorted_12,100000,0.1,B,1697.0519999740645,2.6725845336914062,0.0,10
sorting_near_sorted_12.json,sorting_near_sorted_12,100000,0.1,C,273.2815999770537,0.7631492614746094,0.0,1
sorting_near_sorted_12.json,sorting_near_sorted_12,100000,0.1,C,273.77890003845096,0.7631492614746094,0.0,2
sorting_near_sorted_12.json,sorting_near_sorted_12,100000,0.1,C,272.53850002307445,0.7631492614746094,0.0,3
sorting_near_sorted_12.json,sorting_near_sorted_12,100000,0.1,C,275.79809993039817,0.7631492614746094,0.0,4
sorting_near_sorted_12.json,sorting_near_sorted_12,100000,0.1,C,278.9288000203669,0.7631492614746094,0.0,5
sorting_near_sorted_12.json,sorting_near_sorted_12,100000,0.1,C,274.7786999680102,0.7631492614746094,0.0,6
sorting_near_sorted_12.json,sorting_near_sorted_12,100000,0.1,C,279.0657998993993,0.764739990234375,0.0,7
sorting_near_sorted_12.json,sorting_near_sorted_12,100000,0.1,C,281.31959994789213,0.7631492614746094,0.0,8
sorting_near_sorted_12.json,sorting_near_sorted_12,100000,0.1,C,284.00139999575913,0.7631492614746094,0.0,9
sorting_near_sorted_12.json,sorting_near_sorted_12,100000,0.1,C,276.45100001245737,0.7631492614746094,0.0,10
sorting_near_sorted_13.json,sorting_near_sorted_13,500000,0.02,A,2814.1611999599263,15.605232238769531,0.0,1
sorting_near_sorted_13.json,sorting_near_sorted_13,500000,0.02,A,2702.155999955721,15.605232238769531,0.0,2
sorting_near_sorted_13.json,sorting_near_sorted_13,500000,0.02,A,2698.0988999130204,15.606292724609375,0.0,3
sorting_near_sorted_13.json,sorting_near_sorted_13,500000,0.02,A,2712.642000056803,15.605232238769531,0.0,4
sorting_near_sorted_13.json,sorting_near_sorted_13,500000,0.02,A,2702.1348000271246,15.605232238769531,0.0,5
sorting_near_sorted_13.json,sorting_near_sorted_13,500000,0.02,A,2748.253099969588,15.605232238769531,0.0,6
sorting_near_sorted_13.json,sorting_near_sorted_13,500000,0.02,A,2787.740800064057,15.604843139648438,0.0,7
sorting_near_sorted_13.json,sorting_near_sorted_13,500000,0.02,A,2698.7488999729976,15.605232238769531,0.0,8
sorting_near_sorted_13.json,sorting_near_sorted_13,500000,0.02,A,2692.329699988477,15.605232238769531,0.0,9
sorting_near_sorted_13.json,sorting_near_sorted_13,500000,0.02,A,2720.3175999457017,15.6064453125,0.0,10
sorting_near_sorted_13.json,sorting_near_sorted_13,500000,0.02,B,10148.62540003378,13.355010986328125,0.0,1
sorting_near_sorted_13.json,sorting_near_sorted_13,500000,0.02,B,10213.630800019018,13.355010986328125,0.0,2
sorting_near_sorted_13.json,sorting_near_sorted_13,500000,0.02,B,10120.009399950504,13.355010986328125,0.0,3
sorting_near_sorted_13.json,sorting_near_sorted_13,500000,0.02,B,9915.920899948105,13.35516357421875,0.0,4
sorting_near_sorted_13.json,sorting_near_sorted_13,500000,0.02,B,10010.962300002575,13.355010986328125,0.0,5
sorting_near_sorted_13.json,sorting_near_sorted_13,500000,0.02,B,10129.546500043944,13.355010986328125,0.0,6
sorting_near_sorted_13.json,sorting_near_sorted_13,500000,0.02,B,9930.618700105697,13.355010986328125,0.0,7
sorting_near_sorted_13.json,sorting_near_sorted_13,500000,0.02,B,10102.203399990685,13.35516357421875,0.0,8
sorting_near_sorted_13.json,sorting_near_sorted_13,500000,0.02,B,9968.131600064225,13.355010986328125,0.0,9
sorting_near_sorted_13.json,sorting_near_sorted_13,500000,0.02,B,10035.907000070438,13.355010986328125,0.0,10
sorting_near_sorted_13.json,sorting_near_sorted_13,500000,0.02,C,1123.9097999641672,3.8149070739746094,0.0,1
sorting_near_sorted_13.json,sorting_near_sorted_13,500000,0.02,C,1121.483499999158,3.8149070739746094,0.0,2
sorting_near_sorted_13.json,sorting_near_sorted_13,500000,0.02,C,1135.8878000173718,3.816497802734375,0.0,3
sorting_near_sorted_13.json,sorting_near_sorted_13,500000,0.02,C,1132.093399995938,3.8149070739746094,0.0,4
sorting_near_sorted_13.json,sorting_near_sorted_13,500000,0.02,C,1145.158400060609,3.8149070739746094,0.0,5
sorting_near_sorted_13.json,sorting_near_sorted_13,500000,0.02,C,1127.4277999764308,3.8149070739746094,0.0,6
sorting_near_sorted_13.json,sorting_near_sorted_13,500000,0.02,C,1127.6944000273943,3.8149070739746094,0.0,7
